Primeros 10 caracteres,lP en P,lP en N,lP en T,Clasificación
boomerange,50.37,21.12,85.19,T
contract c,42.44,6.91,62.57,T
Finnish pl,53.47,78.71,83.75,T
exports ac,41.73,37.42,49.01,T
two seller,80.77,68.63,83.76,T
telecoms f,49.81,15.04,54.78,T
Lithuanian,78.41,80.98,73.29,N
sal comp m,48.95,69.36,80.45,T
talent um ,67.54,63.48,72.28,T
emissions ,19.01,21.53,24.36,T
invention ,11.15,12.99,39.83,T
company ma,27.28,16.96,26.92,P
albata sol,66.11,50.98,73.92,T
growth str,63.41,21.86,52.46,P
jura haapa,24.63,30.58,39.3,T
service al,50.72,22.96,63.55,T
manufactur,52.38,31.21,48.99,P
unit clien,50.91,23.19,60.15,T
reductions,15.03,0.2,23.61,T
commission,30.56,27.72,40.22,T
broker sta,52.34,21.86,69.55,T
tie Latvia,72.95,52.18,88.53,T
Swedish Fi,73.61,75.81,98.15,T
company sp,46.33,36.29,62.24,T
Finnish el,111.9,88.93,92.09,P
based firs,145.5,145.94,160.4,T
according ,30.87,34.5,36.68,T
expensive ,6.96,23.88,21.16,N
total scop,49.54,36.06,58.45,T
report cha,30.07,14.94,17.98,P
order rela,34.41,23.88,33.27,P
pilocarpin,27.04,21.24,17.67,P
January ep,46.63,19.74,42.45,P
operating ,45.31,47.11,63.12,T
financial ,13.09,14.47,17.6,T
total new ,72.74,71.78,88.78,T
argentine ,56.11,38.64,44.9,P
upmkymmene,74.35,30.65,76.22,T
continued ,55.9,21.37,102.01,T
operating ,41.61,43.38,54.31,T
stock pric,38.47,35.5,47.51,T
Finnish sc,111.17,119.92,123.01,T
raisin div,31.58,8.84,34.51,T
loti Angel,73.99,38.55,74.81,T
facility s,48.83,38.32,73.47,T
defenses m,38.96,15.85,124.99,T
video mari,37.45,0.2,56.45,T
order inta,41.29,34.73,34.31,P
according ,35.22,22.49,50.87,T
sellers os,18.76,12.5,17.26,P
internatio,20.52,15.6,28.19,T
Ramirez ne,91.12,94.47,103.46,T
last year ,38.7,38.93,48.21,T
needed pro,28.9,22.96,40.24,T
recovery b,61.01,35.41,57.52,P
order also,55.84,14.94,56.94,T
according ,47.65,38.09,46.8,P
stable out,84.7,46.47,81.32,P
Satsuma tr,27.62,21.86,55.29,T
payment mi,53.47,50.52,87.97,T
company he,19.28,12.67,21.9,T
according ,55.05,52.42,75.2,T
includes r,39.2,43.06,41.33,N
riots arty,46.44,44.4,84.88,T
earlier to,100.54,91.58,103.43,T
aim develo,35.27,6.57,43.4,T
would huge,13.13,6.73,19.3,T
also Latvi,39.16,21.64,42.15,T
group net ,35.96,39.12,35.79,N
solute pl ,77.19,80.07,92.57,T
carom head,40.79,14.75,58.41,T
November g,22.25,31.54,25.71,N
process pr,61.33,44.8,71.91,T
car dona s,37.63,15.85,28.87,P
Finnish Me,84.89,66.12,93.62,T
jar mo Hoh,64.37,22.05,75.04,T
decision r,42.18,6.44,60.63,T
maximum gr,33.6,6.57,83.85,T
operating ,24.85,21.52,35.8,T
expansion ,24.43,11.32,26.98,T
company pr,13.45,14.66,23.26,T
Ruskin ord,25.27,21.68,18.62,P
Helsinki O,89.52,83.01,99.49,T
deal subje,21.72,15.45,34.78,T
svyturysut,91.4,52.5,57.4,P
end last w,74.08,63.18,75.93,T
economic o,34.21,22.15,43.98,T
Finnish fo,38.67,32.64,41.16,T
re pension,49.96,19.72,75.93,T
orders als,41.36,29.77,36.66,P
shares sta,58.4,33.6,74.91,T
operating ,46.18,47.8,61.16,T
thanks int,50.99,30.25,46.49,P
target com,115.19,74.26,152.04,T
price raw ,54.65,42.58,50.46,P
significan,55.02,29.83,93.88,T
current ye,55.64,47.8,53.86,P
ssh commun,20.39,30.4,32.33,T
tit lodged,82.39,59.02,80.91,P
financial ,35.01,30.0,35.27,T
company ad,36.48,31.61,28.94,P
net sales ,28.46,40.97,35.02,N
forum prev,38.03,15.85,48.75,T
new system,73.51,58.11,94.07,T
fore resul,74.76,70.49,67.89,P
according ,55.09,35.2,58.56,T
mare sport,69.11,45.38,84.38,T
glassily a,72.52,73.69,62.11,N
prolix mil,14.87,16.48,23.63,T
Gujaratis ,86.25,50.1,69.15,P
headquarte,54.0,43.39,89.6,T
operating ,41.52,43.57,47.06,T
vituline m,42.88,6.57,54.9,T
pretax pro,35.94,33.35,52.26,T
total valu,33.73,30.71,30.03,P
estimated ,36.72,27.01,35.41,P
borrower h,37.86,14.19,27.88,P
rm raki st,45.7,31.5,47.66,T
plumbing b,18.67,30.58,33.84,T
dividend p,22.41,7.82,28.58,T
financial ,62.67,69.19,62.95,N
program st,55.58,21.97,49.92,P
well devic,19.44,23.07,39.28,T
Jon lifebe,49.86,23.19,63.95,T
ocker cran,45.52,7.42,66.47,T
earnings p,35.0,33.68,35.4,T
reporting ,37.86,35.65,35.66,P
sellers in,44.96,37.51,35.8,P
Extremadur,48.14,36.29,51.53,T
